PLAYER_ID,DISPLAY_FIRST_LAST,POSITION
1630173,Precious Achiuwa,Forward
1628389,Bam Adebayo,Center-Forward
1630534,Ochai Agbaji,Guard
1630583,Santi Aldama,Forward-Center
1629638,Nickeil Alexander-Walker,Guard
1628960,Grayson Allen,Guard
1628386,Jarrett Allen,Center
1641851,Timmy Allen,Forward
1630631,Jose Alvarado,Guard
203937,Kyle Anderson,Forward-Guard
203507,Giannis Antetokounmpo,Forward
203648,Thanasis Antetokounmpo,Forward
1630175,Cole Anthony,Guard
1628384,OG Anunoby,Forward-Guard
1627853,Ryan Arcidiacono,Guard
1630166,Deni Avdija,Forward
1629028,Deandre Ayton,Center
1628962,Udoka Azubuike,Center-Forward
1630641,Ibou Badji,Center
1628963,Marvin Bagley III,Forward
1641735,Amari Bailey,Guard
1631116,Patrick Baldwin Jr.,Forward
1630163,LaMelo Ball,Guard
1628964,Mo Bamba,Center
1631094,Paolo Banchero,Forward
1630217,Desmond Bane,Guard
1630625,Dalano Banton,Forward
1631230,Dominick Barlow,Forward
203084,Harrison Barnes,Forward
1630567,Scottie Barnes,Forward-Guard
1629628,RJ Barrett,Forward-Guard
1629646,Charles Bassey,Center-Forward
1641734,Emoni Bates,Forward
1628966,Keita Bates-Diop,Forward
201587,Nicolas Batum,Guard-Forward
1629647,Darius Bazley,Forward
203078,Bradley Beal,Guard
1627736,Malik Beasley,Guard
1630699,MarJon Beauchamp,Forward
1631262,Jules Bernard,Guard
202722,Davis Bertans,Forward
201976,Patrick Beverley,Guard
1630180,Saddiq Bey,Guard-Forward
1629048,Goga Bitadze,Center-Forward
1641931,Onuralp Bitim,Forward
202687,Bismack Biyombo,Center
1641710,Anthony Black,Guard
1641778,Leaky Black,Forward
1631205,Buddy Boeheim,Forward
203992,Bogdan Bogdanovic,Guard
202711,Bojan Bogdanovic,Forward
1629626,Bol Bol,Center-Forward
1629716,Marques Bolden,Center
1626164,Devin Booker,Guard
1630527,Brandon Boston Jr.,Guard
1628449,Chris Boucher,Forward
1630547,James Bouknight,Guard
1631123,Jamaree Bouyea,Guard
1631103,Malaki Branham,Forward
1631128,Christian Braun,Guard
1628969,Mikal Bridges,Guard-Forward
1628970,Miles Bridges,Forward
1629052,Oshae Brissett,Forward-Guard
1631167,Izaiah Brockington,Guard
1627763,Malcolm Brogdon,Guard
1629717,Armoni Brooks,Guard
1628415,Dillon Brooks,Guard-Forward
1628971,Bruce Brown,Guard-Forward
1627759,Jaylen Brown,Guard-Forward
1631112,Kendall Brown,Guard
1641738,Kobe Brown,Forward
1629650,Moses Brown,Center
1630535,Greg Brown III,Forward
1629718,Charlie Brown Jr.,Guard
1628972,Troy Brown Jr.,Guard-Forward
1628973,Jalen Brunson,Guard
1628418,Thomas Bryant,Center-Forward
1641723,Kobe Bufkin,Guard
203493,Reggie Bullock Jr.,Guard-Forward
202692,Alec Burks,Guard
1630215,Jared Butler,Guard
202710,Jimmy Butler,Forward
1631288,Jamal Cain,Forward
203484,Kentavious Caldwell-Pope,Guard
1641739,Toumani Camara,Forward
203991,Clint Capela,Center
1628975,Jevon Carter,Guard
1628976,Wendell Carter Jr.,Center-Forward
1630618,D.J. Carton,Guard
1627936,Alex Caruso,Guard
1630658,Colin Castleton,Center
1630608,Malcolm Cazalon,Guard
1630577,Julian Champagnie,Forward
1630551,Justin Champagnie,Guard-Forward
1631108,Max Christie,Guard
1631321,Sidy Cissoko,Guard
1629634,Brandon Clarke,Forward
203903,Jordan Clarkson,Guard
1629651,Nic Claxton,Center
1641730,Noah Clowney,Forward
1629599,Amir Coffey,Guard-Forward
1628381,John Collins,Forward-Center
1628380,Zach Collins,Forward-Center
201144,Mike Conley,Guard
1626192,Pat Connaughton,Guard
1641731,Bilal Coulibaly,Guard
1641741,Ricky Council IV,Guard
203496,Robert Covington,Forward
1628470,Torrey Craig,Forward
203109,Jae Crowder,Forward
1630622,Jalen Crutcher,Guard
1630595,Cade Cunningham,Guard
203552,Seth Curry,Guard
201939,Stephen Curry,Guard
1630700,Dyson Daniels,Guard
203076,Anthony Davis,Forward-Center
1631098,Johnny Davis,Guard
1631120,JD Davison,Guard
201942,DeMar DeRozan,Guard-Forward
1641926,Dexter Dennis,Guard
1628978,Donte DiVincenzo,Guard
1631217,Moussa Diabate,Forward
1629603,Mamadi Diakite,Forward
1628977,Hamidou Diallo,Guard
1641711,Gradey Dick,Guard-Forward
1631172,Ousmane Dieng,Forward
203915,Spencer Dinwiddie,Guard
1629029,Luka Doncic,Forward-Guard
1629652,Luguentz Dort,Guard
1630245,Ayo Dosunmu,Guard
1630288,Jeff Dowtin Jr.,Guard
1630929,Henri Drell,Forward
203083,Andre Drummond,Center
1630537,Chris Duarte,Guard
1630561,David Duke Jr.,Guard
1627739,Kris Dunn,Guard
201142,Kevin Durant,Forward
1631105,Jalen Duren,Center
1631106,Tari Eason,Forward
1630162,Anthony Edwards,Guard
1630556,Kessler Edwards,Forward
1631165,Keon Ellis,Guard
203954,Joel Embiid,Center-Forward
1629234,Drew Eubanks,Forward-Center
1641787,Tosan Evbuomwan,Forward
203957,Dante Exum,Guard
1628981,Bruno Fernando,Forward-Center
1627827,Dorian Finney-Smith,Forward
1641745,Adam Flagler,Guard
1630201,Malachi Flynn,Guard
1631323,Simone Fontecchio,Forward
1630259,Jordan Ford,Guard
1630235,Trent Forrest,Guard
203095,Evan Fournier,Guard-Forward
1628368,De'Aaron Fox,Guard
1631241,Javon Freeman-Liberty,Guard
1641788,Alex Fudge,Forward
1628365,Markelle Fultz,Guard
1641847,Andrew Funk,Guard
1629117,Wenyen Gabriel,Forward
1629655,Daniel Gafford,Forward-Center
201568,Danilo Gallinari,Forward
1629636,Darius Garland,Guard
1630586,Usman Garuba,Forward
1630568,Luka Garza,Center
1629232,Kaiser Gates,Forward
1641718,Keyonte George,Guard
202331,Paul George,Forward
201959,Taj Gibson,Forward
1630581,Josh Giddey,Guard
1628385,Harry Giles III,Forward-Center
1628983,Shai Gilgeous-Alexander,Guard
1630264,Anthony Gill,Forward
1631221,Collin Gillespie,Guard
1631367,Jacob Gilyard,Guard
203497,Rudy Gobert,Center
1630692,Jordan Goodwin,Guard
203932,Aaron Gordon,Forward
