PLAYER_NAME,PLAYER_ID,TEAM_NAME,LOCATION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,Efficiency
AJ Green,1631260,Milwaukee Bucks,AWAY,13.76,1.33,2.67,0.48,0.67,2.0,0.11,0.67,0.67,0.33,0.0,2.0,2.0,0.33,0.0,0.0,0.0,0.0,2.0,1.0,4.0,-2.0,5.0
AJ Green,1631260,Milwaukee Bucks,HOME,8.71,0.67,2.67,0.17,0.0,1.67,0.0,0.33,0.33,0.33,0.0,1.0,1.0,0.33,0.33,0.0,0.0,0.0,1.0,0.33,1.67,1.33,0.67
AJ Lawson,1630639,Dallas Mavericks,AWAY,3.14,0.33,1.0,0.17,0.17,0.67,0.08,0.17,0.33,0.08,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.17,0.17,1.0,-1.67,0.5
AJ Lawson,1630639,Dallas Mavericks,HOME,2.78,0.5,0.75,0.38,0.25,0.5,0.12,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.25,-0.5,1.5
Aaron Gordon,203932,Denver Nuggets,AWAY,37.9,6.14,9.86,0.59,0.71,1.57,0.29,2.14,2.57,0.6,3.29,5.29,8.57,4.57,1.86,0.86,1.0,0.71,2.57,3.43,15.14,-5.86,24.14
Aaron Gordon,203932,Denver Nuggets,HOME,35.9,5.2,9.8,0.53,1.2,3.2,0.27,1.6,2.0,0.6,2.6,2.8,5.4,4.2,1.0,0.8,0.0,0.0,2.0,1.4,13.2,-1.0,17.6
Aaron Nesmith,1630174,Indiana Pacers,AWAY,32.85,3.62,9.0,0.41,1.25,5.12,0.26,1.5,1.62,0.6,0.88,4.62,5.5,2.0,1.38,0.62,0.75,0.25,3.62,2.5,10.0,2.0,12.0
Aaron Nesmith,1630174,Indiana Pacers,HOME,32.96,3.56,7.67,0.48,1.33,4.22,0.32,2.44,2.67,0.65,1.33,3.11,4.44,2.33,1.33,0.67,0.33,0.33,4.11,2.89,10.89,-0.22,13.0
Aaron Wiggins,1630598,Oklahoma City Thunder,AWAY,14.05,2.0,5.25,0.42,0.25,2.0,0.05,0.5,0.5,0.25,1.75,0.75,2.5,1.0,1.5,1.0,0.25,0.25,0.5,0.5,4.75,-2.0,4.75
Aaron Wiggins,1630598,Oklahoma City Thunder,HOME,16.78,2.5,4.33,0.61,0.83,2.0,0.35,1.33,1.5,0.62,0.33,3.33,3.67,1.0,0.5,0.33,0.33,0.0,1.0,1.0,7.17,5.0,10.0
Al Horford,201143,Boston Celtics,AWAY,32.87,4.57,9.0,0.51,2.86,6.43,0.41,0.14,0.29,0.07,2.29,5.57,7.86,2.0,1.14,1.0,1.43,0.0,1.57,0.43,12.14,11.71,18.71
Al Horford,201143,Boston Celtics,HOME,28.74,2.83,6.25,0.53,1.25,4.17,0.39,0.5,0.75,0.22,1.58,4.92,6.5,2.17,0.33,0.67,0.5,0.0,1.42,0.92,7.42,4.83,13.25
Alec Burks,202692,New York Knicks,AWAY,19.04,4.0,8.25,0.35,2.0,4.5,0.31,3.75,4.25,0.59,0.5,2.25,2.75,0.75,0.0,0.0,0.0,0.75,0.5,3.0,13.75,-1.5,12.5
Alec Burks,202692,New York Knicks,HOME,22.2,4.5,8.5,0.56,2.0,5.0,0.42,6.0,7.5,0.8,1.0,3.5,4.5,1.5,0.0,0.5,0.5,0.5,2.0,4.5,17.0,-7.5,18.5
Amir Coffey,1629599,LA Clippers,AWAY,22.39,1.0,4.33,0.19,0.33,2.33,0.08,0.0,0.0,0.0,0.33,1.33,1.67,0.33,1.0,0.67,0.33,0.0,0.33,0.33,2.33,-9.0,1.0
Amir Coffey,1629599,LA Clippers,HOME,15.02,1.33,3.0,0.76,0.67,1.33,0.17,0.0,0.0,0.0,0.33,1.33,1.67,0.33,0.67,0.0,0.0,0.67,1.67,0.0,3.33,-3.33,3.0
Andre Jackson Jr.,1641748,Milwaukee Bucks,AWAY,15.94,1.33,2.33,0.67,0.67,1.33,0.17,0.0,0.0,0.0,1.33,2.0,3.33,2.33,0.67,1.33,0.33,0.33,3.33,0.0,3.33,4.33,9.0
Andre Jackson Jr.,1641748,Milwaukee Bucks,HOME,5.94,0.5,2.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,-1.0,1.5
Andrew Nembhard,1629614,Indiana Pacers,AWAY,30.65,5.38,10.25,0.52,1.25,3.25,0.36,1.0,1.38,0.42,0.88,2.12,3.0,5.5,1.5,0.38,0.12,0.5,3.25,1.62,13.0,2.88,15.25
Andrew Nembhard,1629614,Indiana Pacers,HOME,34.34,6.56,11.11,0.6,2.11,3.78,0.54,1.33,1.67,0.53,0.78,2.78,3.56,5.56,1.22,0.33,0.33,0.67,3.33,1.78,16.56,-0.56,20.22
Anthony Black,1641710,Orlando Magic,AWAY,6.6,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,-2.0,6.0
Anthony Black,1641710,Orlando Magic,HOME,4.17,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,-6.0,0.0
Anthony Davis,203076,Los Angeles Lakers,AWAY,41.71,12.33,19.67,0.64,0.0,1.67,0.0,5.0,5.67,0.88,2.33,13.67,16.0,4.33,2.33,0.33,2.0,1.0,4.0,6.0,29.67,-0.33,42.0
Anthony Davis,203076,Los Angeles Lakers,HOME,41.39,11.0,17.0,0.67,0.0,0.0,0.0,3.0,4.5,0.61,4.0,11.0,15.0,3.5,2.0,0.5,1.0,0.5,3.5,3.0,25.0,-4.0,35.5
Anthony Edwards,1630162,Minnesota Timberwolves,AWAY,39.55,9.0,18.0,0.5,2.25,6.5,0.26,2.5,3.75,0.56,1.25,5.75,7.0,7.25,4.25,1.5,0.25,1.25,2.0,3.0,22.75,-6.0,24.25
Anthony Edwards,1630162,Minnesota Timberwolves,HOME,40.87,10.0,21.0,0.46,3.08,7.42,0.4,6.08,7.25,0.82,1.08,5.92,7.0,6.25,2.92,1.5,0.67,0.58,2.42,4.5,29.17,7.92,29.5
Austin Reaves,1630559,Los Angeles Lakers,AWAY,33.15,5.33,11.67,0.46,1.33,5.67,0.23,2.33,2.33,0.67,0.67,3.0,3.67,3.67,1.0,0.0,0.33,0.67,1.67,2.0,14.33,-2.0,14.67
Austin Reaves,1630559,Los Angeles Lakers,HOME,37.33,7.0,14.0,0.51,1.5,4.5,0.32,5.0,6.0,0.88,1.5,2.5,4.0,3.5,0.5,3.5,1.0,0.5,1.5,3.5,20.5,-1.5,24.0
Bam Adebayo,1628389,Miami Heat,AWAY,37.73,9.25,18.75,0.52,0.25,1.75,0.08,3.25,4.5,0.79,1.75,5.75,7.5,3.5,1.25,0.5,0.0,0.75,2.5,3.25,22.0,-6.75,21.5
Bam Adebayo,1628389,Miami Heat,HOME,41.58,11.0,22.0,0.5,1.0,3.0,0.33,2.0,3.0,0.67,4.0,13.0,17.0,5.0,3.0,0.0,0.0,0.0,5.0,8.0,25.0,-9.0,32.0
Ben Sheppard,1641767,Indiana Pacers,AWAY,19.07,1.75,4.75,0.37,0.88,3.38,0.24,0.38,0.5,0.31,0.88,2.88,3.75,0.62,0.75,0.5,0.0,0.25,1.88,0.5,4.75,0.5,5.75
Ben Sheppard,1641767,Indiana Pacers,HOME,20.22,1.89,3.67,0.53,1.33,2.56,0.47,0.44,0.56,0.28,0.33,2.0,2.33,1.33,0.56,0.44,0.11,0.44,1.89,0.56,5.56,2.78,7.33
Bobby Portis,1626171,Milwaukee Bucks,AWAY,28.88,5.67,12.0,0.48,0.67,1.67,0.44,1.67,3.0,0.48,3.67,8.33,12.0,0.67,1.67,0.33,0.33,0.33,1.67,2.67,13.67,-4.0,17.67
Bobby Portis,1626171,Milwaukee Bucks,HOME,33.4,9.0,18.33,0.48,0.33,2.33,0.11,1.0,1.33,0.56,1.67,9.0,10.67,1.33,1.33,0.67,0.0,1.33,2.67,2.33,19.33,16.0,21.0
Bojan Bogdanovic,202711,New York Knicks,AWAY,11.5,2.0,7.0,0.29,2.0,6.0,0.33,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,5.0
Bojan Bogdanovic,202711,New York Knicks,HOME,13.09,1.67,5.67,0.18,1.33,3.0,0.28,1.33,2.33,0.39,0.33,3.0,3.33,0.67,0.33,0.0,0.33,1.0,0.67,1.67,6.0,10.0,5.0
Bol Bol,1629626,Phoenix Suns,AWAY,4.35,0.33,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.33,0.0,0.0,0.33,0.0,0.0,0.67,0.0,0.67,0.33,1.67
Bones Hyland,1630538,LA Clippers,AWAY,5.33,1.5,3.0,0.3,0.5,2.0,0.17,2.0,2.0,0.5,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,5.5,0.5,6.5
Bones Hyland,1630538,LA Clippers,HOME,1.23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
Bradley Beal,203078,Phoenix Suns,AWAY,38.54,6.5,14.75,0.45,2.5,5.75,0.39,1.0,1.25,0.42,1.5,1.25,2.75,4.5,3.25,0.75,0.25,0.25,3.75,1.5,16.5,-12.75,13.0
Brandon Boston Jr.,1630527,LA Clippers,AWAY,4.22,1.0,2.0,0.5,0.0,0.0,0.0,0.5,1.0,0.25,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,2.5,2.0,2.5
Brandon Boston Jr.,1630527,LA Clippers,HOME,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Brandon Ingram,1627742,New Orleans Pelicans,AWAY,34.98,5.0,13.5,0.4,0.0,1.0,0.0,5.0,5.0,1.0,0.5,4.5,5.0,3.0,2.5,0.5,1.0,0.5,2.5,5.0,15.0,-14.5,13.5
Brandon Ingram,1627742,New Orleans Pelicans,HOME,37.75,4.5,14.0,0.32,1.0,3.0,0.33,3.5,4.5,0.83,0.0,4.0,4.0,3.5,2.0,1.5,1.5,3.0,1.5,3.5,13.5,-7.5,11.5
Brook Lopez,201572,Milwaukee Bucks,AWAY,36.18,8.67,14.0,0.61,1.0,3.0,0.2,2.0,4.33,0.22,2.33,3.67,6.0,1.67,2.0,0.0,0.33,1.0,1.67,3.67,20.33,-9.33,18.67
Brook Lopez,201572,Milwaukee Bucks,HOME,30.52,6.0,11.0,0.54,2.33,4.67,0.37,0.67,0.67,0.33,1.33,1.33,2.67,2.0,1.0,0.0,2.33,0.0,1.67,0.33,15.0,-2.33,16.0
Buddy Hield,1627741,Philadelphia 76ers,AWAY,7.46,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-7.0,-1.0
Buddy Hield,1627741,Philadelphia 76ers,HOME,18.01,3.5,6.5,0.47,3.0,5.5,0.33,1.0,1.0,0.5,1.0,1.5,2.5,0.5,1.0,0.0,0.0,0.0,1.5,0.5,11.0,4.5,10.0
CJ McCollum,203468,New Orleans Pelicans,AWAY,37.83,7.5,18.0,0.42,1.5,7.0,0.21,1.0,1.0,0.5,0.5,3.5,4.0,5.0,3.5,2.0,0.5,0.5,4.0,1.0,17.5,-13.0,15.0
CJ McCollum,203468,New Orleans Pelicans,HOME,35.99,8.0,19.0,0.44,2.0,7.5,0.27,0.0,0.0,0.0,0.5,5.0,5.5,4.5,4.5,1.5,1.0,0.5,3.0,0.0,18.0,-13.5,15.0
Caleb Houstan,1631216,Orlando Magic,AWAY,4.92,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-3.5,2.5
Caleb Houstan,1631216,Orlando Magic,HOME,4.17,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-1.0
Caleb Martin,1628997,Miami Heat,AWAY,34.67,3.75,7.75,0.46,1.75,4.25,0.38,0.75,0.75,0.5,1.0,2.25,3.25,1.25,0.5,0.25,0.0,0.75,2.75,1.25,10.0,-11.0,10.25
Caleb Martin,1628997,Miami Heat,HOME,37.0,6.0,14.0,0.43,4.0,8.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,18.0,-15.0,18.0
Cameron Payne,1626166,Philadelphia 76ers,AWAY,10.67,2.0,4.0,0.36,1.33,2.33,0.36,0.0,0.0,0.0,0.0,0.67,0.67,1.0,1.0,0.0,1.33,0.67,2.0,0.33,5.33,1.33,5.33
Cameron Payne,1626166,Philadelphia 76ers,HOME,14.56,2.0,6.5,0.32,2.0,5.5,0.37,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.5,0.0,0.0,2.0,0.0,6.0,-5.0,6.0
Caris LeVert,1627747,Cleveland Cavaliers,AWAY,24.65,3.67,9.0,0.37,0.33,2.33,0.14,1.17,2.0,0.46,1.17,3.0,4.17,2.17,1.0,0.5,0.33,0.67,1.5,1.5,8.83,-0.5,8.83
Caris LeVert,1627747,Cleveland Cavaliers,HOME,26.07,4.4,9.6,0.37,0.8,3.8,0.16,2.0,2.8,0.4,0.2,2.8,3.0,2.4,1.6,1.2,0.8,0.0,1.0,2.2,11.6,-6.6,11.4
Cason Wallace,1641717,Oklahoma City Thunder,AWAY,19.38,1.25,3.75,0.41,1.0,2.75,0.42,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.5,1.25,0.25,0.0,1.0,0.0,3.5,2.0,2.75
Cason Wallace,1641717,Oklahoma City Thunder,HOME,20.07,1.83,4.33,0.46,0.83,2.83,0.25,0.17,0.33,0.08,1.0,0.83,1.83,1.5,0.33,0.67,0.17,0.17,1.67,0.67,4.67,4.0,5.83
Chet Holmgren,1631096,Oklahoma City Thunder,AWAY,36.61,4.5,10.0,0.45,1.0,4.5,0.27,2.75,3.5,0.77,1.0,6.5,7.5,1.75,1.5,0.25,2.25,1.0,2.0,3.75,12.75,2.75,16.75
Chet Holmgren,1631096,Oklahoma City Thunder,HOME,33.04,6.83,13.17,0.52,1.5,5.33,0.26,2.33,3.17,0.77,1.67,5.33,7.0,2.33,2.17,1.0,2.67,0.67,3.0,3.17,17.5,10.67,21.17
Chris Livingston,1641753,Milwaukee Bucks,AWAY,2.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,-1.0
Chris Livingston,1641753,Milwaukee Bucks,HOME,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
