PLAYER_NAME,TEAM_NAME,Efficiency_HOME,LOCATION_HOME,Efficiency_AWAY,LOCATION_AWAY,Efficiency_DIFF
Mouhamed Gueye,Atlanta Hawks,-1.0,HOME,15.0,AWAY,16.0
Nicolas Batum,LA Clippers,2.5,HOME,16.0,AWAY,13.5
Jeff Dowtin Jr.,Philadelphia 76ers,16.0,HOME,2.62,AWAY,13.379999999999999
Tristan Vukcevic,Washington Wizards,2.0,HOME,14.17,AWAY,12.17
Taze Moore,Portland Trail Blazers,1.67,HOME,13.0,AWAY,11.33
Shake Milton,Detroit Pistons,17.0,HOME,6.0,AWAY,11.0
Dexter Dennis,Dallas Mavericks,-2.0,HOME,8.0,AWAY,10.0
Marques Bolden,Charlotte Hornets,12.0,HOME,2.75,AWAY,9.25
Quentin Grimes,Detroit Pistons,-1.0,HOME,7.0,AWAY,8.0
Dylan Windler,Atlanta Hawks,4.4,HOME,12.0,AWAY,7.6
Evan Fournier,New York Knicks,4.5,HOME,-3.0,AWAY,7.5
Mason Jones,Sacramento Kings,-1.0,HOME,6.0,AWAY,7.0
Taj Gibson,Detroit Pistons,9.5,HOME,3.0,AWAY,6.5
Justin Champagnie,Washington Wizards,4.71,HOME,11.0,AWAY,6.29
Anfernee Simons,Portland Trail Blazers,16.8,HOME,22.94,AWAY,6.140000000000001
Bennedict Mathurin,Indiana Pacers,16.11,HOME,9.97,AWAY,6.139999999999999
Mamadi Diakite,San Antonio Spurs,9.0,HOME,3.0,AWAY,6.0
Javonte Green,Chicago Bulls,15.83,HOME,21.67,AWAY,5.840000000000002
Shaedon Sharpe,Portland Trail Blazers,11.61,HOME,17.43,AWAY,5.82
Ja Morant,Memphis Grizzlies,23.2,HOME,29.0,AWAY,5.800000000000001
Royce O'Neale,Phoenix Suns,15.43,HOME,9.75,AWAY,5.68
Stanley Umude,Detroit Pistons,8.82,HOME,3.31,AWAY,5.51
Tre Mann,Oklahoma City Thunder,0.5,HOME,6.0,AWAY,5.5
Marvin Bagley III,Washington Wizards,19.05,HOME,13.6,AWAY,5.450000000000001
Jack White,Memphis Grizzlies,-2.0,HOME,3.33,AWAY,5.33
Simone Fontecchio,Detroit Pistons,11.6,HOME,16.91,AWAY,5.3100000000000005
Jimmy Butler,Miami Heat,20.85,HOME,26.15,AWAY,5.299999999999997
Buddy Boeheim,Detroit Pistons,0.5,HOME,5.75,AWAY,5.25
Duncan Robinson,Miami Heat,9.63,HOME,14.82,AWAY,5.1899999999999995
Devin Booker,Phoenix Suns,29.41,HOME,24.33,AWAY,5.080000000000002
Kevon Harris,Orlando Magic,0.0,HOME,5.0,AWAY,5.0
Adam Flagler,Oklahoma City Thunder,3.0,HOME,-2.0,AWAY,5.0
Greg Brown III,Dallas Mavericks,-0.5,HOME,4.5,AWAY,5.0
Kelly Olynyk,Toronto Raptors,20.06,HOME,15.08,AWAY,4.979999999999999
Kyle Lowry,Miami Heat,14.11,HOME,9.22,AWAY,4.889999999999999
Scottie Barnes,Toronto Raptors,22.19,HOME,27.03,AWAY,4.84
Bismack Biyombo,Oklahoma City Thunder,4.83,HOME,0.0,AWAY,4.83
Vince Williams Jr.,Memphis Grizzlies,11.62,HOME,16.43,AWAY,4.8100000000000005
Tyrese Haliburton,Indiana Pacers,23.48,HOME,28.29,AWAY,4.809999999999999
Luka Doncic,Dallas Mavericks,34.68,HOME,39.44,AWAY,4.759999999999998
Johnny Juzang,Utah Jazz,9.5,HOME,4.75,AWAY,4.75
Keegan Murray,Sacramento Kings,18.54,HOME,13.9,AWAY,4.639999999999999
Daniel Gafford,Dallas Mavericks,21.12,HOME,16.5,AWAY,4.620000000000001
Jared Butler,Washington Wizards,5.55,HOME,10.15,AWAY,4.6000000000000005
Brandon Clarke,Memphis Grizzlies,18.0,HOME,13.4,AWAY,4.6
Franz Wagner,Orlando Magic,17.27,HOME,21.85,AWAY,4.580000000000002
Bradley Beal,Phoenix Suns,16.88,HOME,21.41,AWAY,4.530000000000001
RaiQuan Gray,San Antonio Spurs,8.5,HOME,13.0,AWAY,4.5
Zach Collins,San Antonio Spurs,15.91,HOME,11.42,AWAY,4.49
Khris Middleton,Milwaukee Bucks,15.6,HOME,20.08,AWAY,4.479999999999999
Paul George,LA Clippers,24.77,HOME,20.32,AWAY,4.449999999999999
Buddy Hield,Philadelphia 76ers,10.06,HOME,14.5,AWAY,4.4399999999999995
Jayson Tatum,Boston Celtics,25.0,HOME,29.33,AWAY,4.329999999999998
Patrick Baldwin Jr.,Washington Wizards,4.23,HOME,8.5,AWAY,4.27
Delon Wright,Washington Wizards,5.5,HOME,9.73,AWAY,4.23
Jalen Green,Houston Rockets,15.09,HOME,19.31,AWAY,4.219999999999999
Dominick Barlow,San Antonio Spurs,5.24,HOME,9.44,AWAY,4.199999999999999
Amen Thompson,Houston Rockets,13.18,HOME,17.36,AWAY,4.18
Jontay Porter,Toronto Raptors,5.64,HOME,9.8,AWAY,4.160000000000001
Trevelin Queen,Orlando Magic,1.67,HOME,5.75,AWAY,4.08
Dennis Schroder,Brooklyn Nets,17.0,HOME,12.93,AWAY,4.07
Sandro Mamukelashvili,San Antonio Spurs,8.33,HOME,4.32,AWAY,4.01
Marcus Smart,Memphis Grizzlies,11.2,HOME,15.2,AWAY,4.0
Wenyen Gabriel,Memphis Grizzlies,2.0,HOME,6.0,AWAY,4.0
Danny Green,Philadelphia 76ers,-1.0,HOME,3.0,AWAY,4.0
Jason Preston,Utah Jazz,7.0,HOME,3.0,AWAY,4.0
Dylan Windler,Los Angeles Lakers,5.0,HOME,1.0,AWAY,4.0
Ryan Rollins,Milwaukee Bucks,4.0,HOME,0.0,AWAY,4.0
Dariq Whitehead,Brooklyn Nets,5.0,HOME,1.0,AWAY,4.0
Isaiah Mobley,Cleveland Cavaliers,0.83,HOME,4.75,AWAY,3.92
Lonnie Walker IV,Brooklyn Nets,9.81,HOME,5.96,AWAY,3.8500000000000005
DeJon Jarreau,Memphis Grizzlies,6.4,HOME,10.25,AWAY,3.8499999999999996
Chris Boucher,Toronto Raptors,6.55,HOME,10.36,AWAY,3.8099999999999996
Devonte' Graham,San Antonio Spurs,7.18,HOME,3.42,AWAY,3.76
Monte Morris,Detroit Pistons,2.33,HOME,6.0,AWAY,3.67
Anthony Gill,Washington Wizards,3.0,HOME,6.62,AWAY,3.62
Malik Beasley,Milwaukee Bucks,9.57,HOME,13.16,AWAY,3.59
Josh Green,Dallas Mavericks,8.23,HOME,11.81,AWAY,3.58
Deni Avdija,Washington Wizards,20.12,HOME,16.56,AWAY,3.5600000000000023
Bones Hyland,LA Clippers,8.25,HOME,4.71,AWAY,3.54
Keon Johnson,Brooklyn Nets,4.5,HOME,8.0,AWAY,3.5
Joel Embiid,Philadelphia 76ers,36.83,HOME,40.33,AWAY,3.5
R.J. Hampton,Miami Heat,3.0,HOME,-0.5,AWAY,3.5
Robert Covington,LA Clippers,9.5,HOME,6.0,AWAY,3.5
Immanuel Quickley,Toronto Raptors,22.06,HOME,18.6,AWAY,3.4599999999999973
Santi Aldama,Memphis Grizzlies,15.21,HOME,11.78,AWAY,3.4300000000000015
Patty Mills,Miami Heat,3.9,HOME,7.33,AWAY,3.43
Maozinha Pereira,Memphis Grizzlies,8.33,HOME,11.75,AWAY,3.42
Nassir Little,Phoenix Suns,6.11,HOME,2.74,AWAY,3.37
Harrison Barnes,Sacramento Kings,13.13,HOME,9.77,AWAY,3.360000000000001
Matt Ryan,New Orleans Pelicans,6.43,HOME,3.07,AWAY,3.36
Jake LaRavia,Memphis Grizzlies,8.0,HOME,11.35,AWAY,3.3499999999999996
Kira Lewis Jr.,Utah Jazz,6.2,HOME,2.86,AWAY,3.3400000000000003
Cam Reddish,Los Angeles Lakers,4.13,HOME,7.44,AWAY,3.3100000000000005
Nikola Jokic,Denver Nuggets,37.11,HOME,40.36,AWAY,3.25
Matisse Thybulle,Portland Trail Blazers,6.56,HOME,9.79,AWAY,3.2299999999999995
Collin Gillespie,Denver Nuggets,2.67,HOME,5.89,AWAY,3.2199999999999998
Chuma Okeke,Orlando Magic,4.78,HOME,1.59,AWAY,3.1900000000000004
Ish Wainright,Portland Trail Blazers,3.17,HOME,0.0,AWAY,3.17
Jaden Springer,Boston Celtics,5.17,HOME,2.0,AWAY,3.17
Jacob Toppin,New York Knicks,3.17,HOME,0.0,AWAY,3.17
John Collins,Utah Jazz,17.42,HOME,20.57,AWAY,3.1499999999999986
Olivier-Maxence Prosper,Dallas Mavericks,2.15,HOME,5.25,AWAY,3.1
Thaddeus Young,Phoenix Suns,6.75,HOME,3.67,AWAY,3.08
Malcolm Brogdon,Portland Trail Blazers,15.43,HOME,18.5,AWAY,3.0700000000000003
Russell Westbrook,LA Clippers,12.04,HOME,15.1,AWAY,3.0600000000000005
Terry Rozier,Charlotte Hornets,21.22,HOME,24.25,AWAY,3.030000000000001
Walker Kessler,Utah Jazz,14.28,HOME,17.29,AWAY,3.01
Onuralp Bitim,Chicago Bulls,4.88,HOME,1.87,AWAY,3.01
Jamaree Bouyea,San Antonio Spurs,8.0,HOME,5.0,AWAY,3.0
