TEAM_NAME,GP,W,L,Logo_URL
Atlanta Hawks,82,36,46,https://loodibee.com/wp-content/uploads/nba-atlanta-hawks-logo.png
Boston Celtics,82,64,18,https://loodibee.com/wp-content/uploads/nba-boston-celtics-logo.png
Brooklyn Nets,82,32,50,https://loodibee.com/wp-content/uploads/nba-brooklyn-nets-logo.png
Charlotte Hornets,82,21,61,https://loodibee.com/wp-content/uploads/nba-charlotte-hornets-logo.png
Chicago Bulls,82,39,43,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png
Cleveland Cavaliers,82,48,34,https://loodibee.com/wp-content/uploads/cleveland-cavaliers-2010-2017.png
Dallas Mavericks,82,50,32,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png
Denver Nuggets,82,57,25,https://loodibee.com/wp-content/uploads/nba-denver-nuggets-logo-2018.png
Detroit Pistons,82,14,68,https://loodibee.com/wp-content/uploads/nba-detroit-pistons-logo.png
Golden State Warriors,82,46,36,https://loodibee.com/wp-content/uploads/nba-golden-state-warriors-logo.png
Houston Rockets,82,41,41,https://loodibee.com/wp-content/uploads/nba-houston-rockets-logo.png
Indiana Pacers,82,47,35,https://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo.png
LA Clippers,82,51,31,https://loodibee.com/wp-content/uploads/nba-la-clippers-logo.png
Los Angeles Lakers,82,47,35,https://loodibee.com/wp-content/uploads/nba-los-angeles-lakers-logo.png
Memphis Grizzlies,82,27,55,https://loodibee.com/wp-content/uploads/nba-memphis-grizzlies-logo.png
Miami Heat,82,46,36,https://loodibee.com/wp-content/uploads/nba-miami-heat-logo.png
Milwaukee Bucks,82,49,33,https://loodibee.com/wp-content/uploads/nba-milwaukee-bucks-logo.png
Minnesota Timberwolves,82,56,26,https://loodibee.com/wp-content/uploads/nba-minnesota-timberwolves-logo.png
New Orleans Pelicans,82,49,33,https://loodibee.com/wp-content/uploads/nba-new-orleans-pelicans-logo.png
New York Knicks,82,50,32,https://loodibee.com/wp-content/uploads/nba-new-york-knicks-logo.png
Oklahoma City Thunder,82,57,25,https://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo.png
Orlando Magic,82,47,35,https://loodibee.com/wp-content/uploads/nba-orlando-magic-logo.png
Philadelphia 76ers,82,47,35,https://loodibee.com/wp-content/uploads/nba-philadelphia-76ers-logo.png
Phoenix Suns,82,49,33,https://loodibee.com/wp-content/uploads/nba-phoenix-suns-logo.png
Portland Trail Blazers,82,21,61,https://loodibee.com/wp-content/uploads/nba-portland-trail-blazers-logo.png
Sacramento Kings,82,46,36,https://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo.png
San Antonio Spurs,82,22,60,https://loodibee.com/wp-content/uploads/san-antonio-spurs-2002-2017.png
Toronto Raptors,82,25,57,https://loodibee.com/wp-content/uploads/nba-toronto-raptors-logo-2020.png
Utah Jazz,82,31,51,https://loodibee.com/wp-content/uploads/nba-utah-jazz-logo.png
Washington Wizards,82,15,67,https://loodibee.com/wp-content/uploads/nba-washington-wizards-logo.png
