SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,PlayerID,PlayerName
2023-24,1630173,Precious Achiuwa,Precious,1610612752,NYK,New York Knicks,0042300217,2024-05-19T00:00:00,NYK vs. IND,L,27.676666666666666,2,7,0.286,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,3,2,4,-3,5.5,0,0,5.0,1,5,5,5,2,4,2,7,1,1,1,5,6,5,7,8,8,3,4,3,6,4,5,2,5,4,8,1,1,8,1,1630173,Precious Achiuwa
2023-24,1630173,Precious Achiuwa,Precious,1610612752,NYK,New York Knicks,0042300216,2024-05-17T00:00:00,NYK @ IND,L,25.616666666666667,5,8,0.625,0,1,0.0,2,5,0.4,4,4,8,0,0,2,2,2,3,5,12,-5,33.6,0,0,28.0,1,5,5,5,3,1,1,4,1,1,1,1,1,4,2,1,1,4,4,1,3,8,5,1,1,5,1,1,1,1,1,1630173,Precious Achiuwa
2023-24,1630173,Precious Achiuwa,Precious,1610612752,NYK,New York Knicks,0042300215,2024-05-14T00:00:00,NYK vs. IND,W,22.95,2,6,0.333,0,1,0.0,0,0,0.0,2,3,5,2,0,2,2,0,4,1,4,15,25.0,0,0,19.0,1,1,1,1,5,4,4,6,1,1,1,5,6,5,6,2,5,1,4,1,3,1,8,4,5,1,2,1,1,2,1,1630173,Precious Achiuwa
2023-24,1630173,Precious Achiuwa,Precious,1610612752,NYK,New York Knicks,0042300214,2024-05-12T00:00:00,NYK @ IND,L,24.0,4,7,0.571,0,0,0.0,0,2,0.0,5,1,6,0,0,0,0,1,0,1,8,-22,15.2,0,0,14.0,1,5,5,5,4,2,2,5,1,4,1,5,2,5,1,6,3,4,4,3,6,4,1,4,2,9,5,1,1,5,1,1630173,Precious Achiuwa
2023-24,1630173,Precious Achiuwa,Precious,1610612752,NYK,New York Knicks,0042300213,2024-05-10T00:00:00,NYK @ IND,L,21.783333333333335,2,3,0.667,0,0,0.0,1,2,0.5,4,2,6,0,2,0,3,1,2,1,5,-6,19.2,0,0,17.0,1,5,5,5,6,4,7,3,1,4,1,2,2,1,2,4,3,4,1,3,2,4,4,4,4,6,4,1,1,4,1,1630173,Precious Achiuwa
2023-24,1630173,Precious Achiuwa,Precious,1610612752,NYK,New York Knicks,0042300212,2024-05-08T00:00:00,NYK vs. IND,W,28.133333333333333,4,5,0.8,0,0,0.0,0,0,0.0,3,2,5,0,0,0,0,1,4,0,8,-14,14.0,0,0,13.0,1,1,1,1,1,2,5,2,1,4,1,5,6,5,5,4,5,4,4,3,6,4,8,8,2,8,6,1,1,6,1,1630173,Precious Achiuwa
2023-24,1630173,Precious Achiuwa,Precious,1610612752,NYK,New York Knicks,0042300211,2024-05-06T00:00:00,NYK vs. IND,W,4.291666666666667,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,0,1,1,-6,2.2,0,0,2.0,1,1,1,1,9,8,9,8,1,4,1,2,2,1,7,6,7,4,4,3,6,1,1,4,8,6,9,1,1,9,1,1630173,Precious Achiuwa
2023-24,1630173,Precious Achiuwa,Precious,1610612752,NYK,New York Knicks,0042300114,2024-04-28T00:00:00,NYK @ PHI,W,19.8,0,5,0.0,0,0,0.0,1,2,0.5,4,3,7,2,1,0,4,2,1,2,1,11,23.4,0,0,18.0,1,1,1,1,7,8,5,8,1,4,1,2,2,1,2,2,2,1,2,3,1,8,3,2,8,2,3,1,1,3,1,1630173,Precious Achiuwa
2023-24,1630173,Precious Achiuwa,Precious,1610612752,NYK,New York Knicks,0042300113,2024-04-25T00:00:00,NYK @ PHI,L,10.183333333333334,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,3,0,4,6,6.0,0,0,6.0,1,5,5,5,8,4,8,1,1,4,1,5,6,5,7,8,8,4,2,3,5,1,5,8,5,3,7,1,1,7,1,1630173,Precious Achiuwa
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042300105,2024-05-01T00:00:00,MIA @ BOS,L,36.0,10,26,0.385,1,3,0.333,2,2,1.0,0,5,5,6,3,2,0,1,1,1,23,-32,41.0,0,0,39.0,1,2,2,2,5,2,1,5,1,1,1,4,5,1,4,4,5,1,1,1,1,3,1,5,3,5,2,3,1,2,1,1628389,Bam Adebayo
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042300104,2024-04-29T00:00:00,MIA vs. BOS,L,41.583333333333336,11,22,0.5,1,3,0.333,2,3,0.667,4,13,17,5,3,0,0,0,5,8,25,-9,49.9,1,0,48.0,1,2,2,2,1,1,2,3,1,1,1,4,4,3,2,1,1,2,1,2,1,1,5,1,1,3,1,1,1,1,1,1628389,Bam Adebayo
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042300103,2024-04-27T00:00:00,MIA vs. BOS,L,38.51166666666666,8,18,0.444,0,1,0.0,4,6,0.667,5,4,9,3,0,0,0,1,2,4,20,-9,35.3,0,0,32.0,1,2,2,2,3,5,3,4,3,4,3,1,1,3,1,5,3,3,4,2,1,3,2,3,5,3,4,3,1,5,1,1628389,Bam Adebayo
