GROUP_SET,GROUP_VALUE,TEAM_GAME_LOCATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,TEAM_NAME,TEAM_ABBR
Location,Home,Home,41,21,20,0.512,1998.0,1832,3819,0.48,567,1536,0.369,767,950,0.807,518,1337,1855,1139,558.0,312,193,218,759,797,4998,46.0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1610612737,Atlanta Hawks,ATL
Location,Road,Road,41,15,26,0.366,1973.0,1697,3765,0.451,558,1556,0.359,753,956,0.788,506,1302,1808,1041,552.0,303,176,243,763,797,4705,-225.0,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1610612737,Atlanta Hawks,ATL
Location,Home,Home,41,37,4,0.902,1978.0,1841,3707,0.497,697,1731,0.403,670,802,0.835,434,1502,1936,1109,489.0,287,268,151,674,700,5049,624.0,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1610612738,Boston Celtics,BOS
Location,Road,Road,41,27,14,0.659,1988.0,1760,3689,0.477,654,1751,0.374,664,852,0.779,442,1421,1863,1098,490.0,270,270,153,652,716,4838,306.0,1,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1610612738,Boston Celtics,BOS
Location,Home,Home,41,26,15,0.634,1978.0,1755,3612,0.486,582,1537,0.379,602,797,0.755,432,1350,1782,1193,546.0,297,185,209,687,753,4694,162.0,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1610612739,Cleveland Cavaliers,CLE
Location,Road,Road,41,22,19,0.537,1983.0,1670,3536,0.472,526,1479,0.356,676,874,0.773,376,1392,1768,1106,566.0,308,195,201,749,783,4542,36.0,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,1610612739,Cleveland Cavaliers,CLE
Location,Home,Home,40,21,19,0.525,1925.0,1700,3539,0.48,491,1334,0.368,704,917,0.768,427,1315,1742,1093,518.0,351,189,220,748,742,4595,138.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1610612740,New Orleans Pelicans,NOP
Location,Road,Road,42,28,14,0.667,2016.0,1784,3626,0.492,532,1339,0.397,741,956,0.775,425,1438,1863,1117,549.0,333,189,204,760,764,4841,224.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1610612740,New Orleans Pelicans,NOP
Location,Home,Home,41,20,21,0.488,2003.0,1708,3662,0.466,457,1322,0.346,700,871,0.804,464,1364,1828,1030,531.0,326,204,199,755,773,4573,-5.0,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1610612741,Chicago Bulls,CHI
Location,Road,Road,41,19,22,0.463,1993.0,1740,3677,0.473,484,1308,0.37,669,860,0.778,452,1313,1765,1018,473.0,312,190,205,786,765,4633,-113.0,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1610612741,Chicago Bulls,CHI
Location,Home,Home,41,25,16,0.61,1973.0,1749,3648,0.479,594,1586,0.375,774,1012,0.765,422,1355,1777,1048,528.0,284,208,172,781,898,4866,149.0,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1610612742,Dallas Mavericks,DAL
Location,Road,Road,41,25,16,0.61,1968.0,1786,3704,0.482,603,1656,0.364,623,830,0.751,375,1369,1744,1058,499.0,279,198,159,719,769,4798,32.0,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,1610612742,Dallas Mavericks,DAL
Location,Home,Home,41,33,8,0.805,1973.0,1847,3624,0.51,504,1301,0.387,661,849,0.779,415,1419,1834,1270,513.0,296,220,173,754,755,4859,401.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1610612743,Denver Nuggets,DEN
Location,Road,Road,41,24,17,0.585,1968.0,1763,3655,0.482,454,1259,0.361,579,779,0.743,466,1343,1809,1145,523.0,289,236,221,735,712,4559,30.0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1610612743,Denver Nuggets,DEN
Location,Home,Home,41,21,20,0.512,1988.0,1776,3775,0.47,608,1617,0.376,657,828,0.793,511,1400,1911,1216,580.0,271,181,197,784,753,4817,28.0,1,2,2,2,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,1610612744,Golden State Warriors,GSW
Location,Road,Road,41,25,16,0.61,1978.0,1806,3740,0.483,603,1574,0.383,625,816,0.766,485,1434,1919,1186,594.0,301,196,210,814,718,4840,186.0,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,1,1610612744,Golden State Warriors,GSW
Location,Home,Home,41,27,14,0.659,1978.0,1740,3718,0.468,553,1484,0.373,723,918,0.788,440,1430,1870,1029,501.0,335,165,238,805,780,4756,219.0,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1610612745,Houston Rockets,HOU
Location,Road,Road,41,14,27,0.341,1993.0,1685,3741,0.45,490,1480,0.331,759,998,0.761,500,1357,1857,1006,544.0,304,210,244,897,829,4619,-127.0,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1610612745,Houston Rockets,HOU
Location,Home,Home,41,25,16,0.61,1968.0,1745,3570,0.489,494,1356,0.364,744,905,0.822,407,1352,1759,1079,546.0,306,218,189,748,783,4728,122.0,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,2,2,1610612746,Los Angeles Clippers,LAC
