Game_ID,GAME_DATE,MATCHUP,PTS,WL,TEAM_NAME,WINNING_TEAM
0022301188,"APR 14, 2024",ATL @ IND,115,L,Hawks,IND
0022301178,"APR 12, 2024",ATL @ MIN,106,L,Hawks,MIN
0022301159,"APR 10, 2024",ATL vs. CHA,114,L,Hawks,CHA
0022301147,"APR 09, 2024",ATL vs. MIA,111,L,Hawks,MIA
0022301130,"APR 06, 2024",ATL @ DEN,110,L,Hawks,DEN
0022301124,"APR 04, 2024",ATL @ DAL,95,L,Hawks,DAL
0022301104,"APR 03, 2024",ATL vs. DET,121,W,Hawks,Hawks
0022301091,"APR 01, 2024",ATL @ CHI,113,W,Hawks,Hawks
0022301076,"MAR 30, 2024",ATL vs. MIL,113,L,Hawks,MIL
0022301060,"MAR 28, 2024",ATL vs. BOS,123,W,Hawks,Hawks
0022301051,"MAR 27, 2024",ATL vs. POR,120,W,Hawks,Hawks
0022301034,"MAR 25, 2024",ATL vs. BOS,120,W,Hawks,Hawks
0022301021,"MAR 23, 2024",ATL vs. CHA,132,W,Hawks,Hawks
0022301010,"MAR 21, 2024",ATL @ PHX,115,L,Hawks,PHX
0022300990,"MAR 18, 2024",ATL @ LAL,105,L,Hawks,LAL
0022300982,"MAR 17, 2024",ATL @ LAC,110,W,Hawks,Hawks
0022300966,"MAR 15, 2024",ATL @ UTA,122,L,Hawks,UTA
0022300953,"MAR 13, 2024",ATL @ POR,102,L,Hawks,POR
0022300925,"MAR 10, 2024",ATL vs. NOP,103,L,Hawks,NOP
0022300913,"MAR 08, 2024",ATL @ MEM,99,W,Hawks,Hawks
0022300895,"MAR 06, 2024",ATL vs. CLE,112,W,Hawks,Hawks
0022300889,"MAR 05, 2024",ATL @ NYK,116,W,Hawks,Hawks
0022300866,"MAR 02, 2024",ATL @ BKN,102,L,Hawks,BKN
0022300851,"FEB 29, 2024",ATL @ BKN,97,L,Hawks,BKN
0022300835,"FEB 27, 2024",ATL vs. UTA,124,W,Hawks,Hawks
0022300821,"FEB 25, 2024",ATL vs. ORL,109,W,Hawks,Hawks
0022300804,"FEB 23, 2024",ATL vs. TOR,121,L,Hawks,TOR
0022300777,"FEB 14, 2024",ATL @ CHA,99,L,Hawks,CHA
0022300763,"FEB 12, 2024",ATL vs. CHI,126,L,Hawks,CHI
0022300754,"FEB 10, 2024",ATL vs. HOU,122,W,Hawks,Hawks
0022300742,"FEB 09, 2024",ATL @ PHI,127,W,Hawks,Hawks
0022300729,"FEB 07, 2024",ATL @ BOS,117,L,Hawks,BOS
0022300716,"FEB 05, 2024",ATL vs. LAC,144,L,Hawks,LAC
0022300699,"FEB 03, 2024",ATL vs. GSW,141,W,Hawks,Hawks
0022300690,"FEB 02, 2024",ATL vs. PHX,129,W,Hawks,Hawks
0022300669,"JAN 30, 2024",ATL vs. LAL,138,W,Hawks,Hawks
0022300653,"JAN 28, 2024",ATL vs. TOR,126,W,Hawks,Hawks
0022300634,"JAN 26, 2024",ATL vs. DAL,143,L,Hawks,DAL
0022300626,"JAN 24, 2024",ATL @ GSW,112,L,Hawks,GSW
0022300613,"JAN 22, 2024",ATL @ SAC,107,L,Hawks,SAC
0022300595,"JAN 20, 2024",ATL vs. CLE,95,L,Hawks,CLE
0022300587,"JAN 19, 2024",ATL @ MIA,109,W,Hawks,Hawks
0022300570,"JAN 17, 2024",ATL vs. ORL,106,W,Hawks,Hawks
0022300559,"JAN 15, 2024",ATL vs. SAS,109,W,Hawks,Hawks
0022300543,"JAN 13, 2024",ATL vs. WAS,99,L,Hawks,WAS
0022300533,"JAN 12, 2024",ATL vs. IND,108,L,Hawks,IND
0022300521,"JAN 10, 2024",ATL vs. PHI,139,W,Hawks,Hawks
0022300499,"JAN 07, 2024",ATL @ ORL,110,L,Hawks,ORL
0022300480,"JAN 05, 2024",ATL @ IND,116,L,Hawks,IND
0022300467,"JAN 03, 2024",ATL vs. OKC,141,W,Hawks,Hawks
0022300445,"DEC 31, 2023",ATL @ WAS,130,W,Hawks,Hawks
0022300431,"DEC 29, 2023",ATL vs. SAC,110,L,Hawks,SAC
0022300408,"DEC 26, 2023",ATL @ CHI,113,L,Hawks,CHI
0022300393,"DEC 23, 2023",ATL vs. MEM,119,L,Hawks,MEM
0022300384,"DEC 22, 2023",ATL @ MIA,113,L,Hawks,MIA
0022300371,"DEC 20, 2023",ATL @ HOU,134,W,Hawks,Hawks
0022300352,"DEC 18, 2023",ATL vs. DET,130,W,Hawks,Hawks
0022300336,"DEC 16, 2023",ATL @ CLE,119,L,Hawks,CLE
0022300330,"DEC 15, 2023",ATL @ TOR,125,W,Hawks,Hawks
0022300313,"DEC 13, 2023",ATL @ TOR,128,L,Hawks,TOR
0022300296,"DEC 11, 2023",ATL vs. DEN,122,L,Hawks,DEN
0022301218,"DEC 08, 2023",ATL @ PHI,114,L,Hawks,PHI
0022301209,"DEC 06, 2023",ATL vs. BKN,113,L,Hawks,BKN
0022300286,"DEC 02, 2023",ATL @ MIL,121,L,Hawks,MIL
0022300272,"NOV 30, 2023",ATL @ SAS,137,W,Hawks,Hawks
0022300055,"NOV 28, 2023",ATL @ CLE,105,L,Hawks,CLE
0022300246,"NOV 26, 2023",ATL @ BOS,103,L,Hawks,BOS
0022300241,"NOV 25, 2023",ATL @ WAS,136,W,Hawks,Hawks
0022300227,"NOV 22, 2023",ATL vs. BKN,147,W,Hawks,Hawks
0022300039,"NOV 21, 2023",ATL vs. IND,152,L,Hawks,IND
0022300029,"NOV 17, 2023",ATL vs. PHI,116,L,Hawks,PHI
0022300193,"NOV 15, 2023",ATL vs. NYK,114,L,Hawks,NYK
0022300018,"NOV 14, 2023",ATL @ DET,126,W,Hawks,Hawks
0022300175,"NOV 11, 2023",ATL vs. MIA,109,L,Hawks,MIA
0022300172,"NOV 09, 2023",ATL @ ORL,120,W,Hawks,Hawks
0022300155,"NOV 06, 2023",ATL @ OKC,117,L,Hawks,OKC
0022300135,"NOV 04, 2023",ATL @ NOP,123,W,Hawks,Hawks
0022300117,"NOV 01, 2023",ATL vs. WAS,130,W,Hawks,Hawks
0022300104,"OCT 30, 2023",ATL vs. MIN,127,W,Hawks,Hawks
0022300097,"OCT 29, 2023",ATL @ MIL,127,W,Hawks,Hawks
0022300079,"OCT 27, 2023",ATL vs. NYK,120,L,Hawks,NYK
0022300063,"OCT 25, 2023",ATL @ CHA,110,L,Hawks,CHA
0022301186,"APR 14, 2024",BOS vs. WAS,132,W,Celtics,Celtics
0022301173,"APR 12, 2024",BOS vs. CHA,131,W,Celtics,Celtics
0022301167,"APR 11, 2024",BOS vs. NYK,109,L,Celtics,NYK
0022301148,"APR 09, 2024",BOS @ MIL,91,L,Celtics,MIL
0022301134,"APR 07, 2024",BOS vs. POR,124,W,Celtics,Celtics
0022301118,"APR 05, 2024",BOS vs. SAC,101,W,Celtics,Celtics
0022301105,"APR 03, 2024",BOS vs. OKC,135,W,Celtics,Celtics
0022301087,"APR 01, 2024",BOS @ CHA,118,W,Celtics,Celtics
0022301074,"MAR 30, 2024",BOS @ NOP,104,W,Celtics,Celtics
0022301060,"MAR 28, 2024",BOS @ ATL,122,L,Celtics,ATL
0022301034,"MAR 25, 2024",BOS @ ATL,118,L,Celtics,ATL
0022301023,"MAR 23, 2024",BOS @ CHI,124,W,Celtics,Celtics
0022301011,"MAR 22, 2024",BOS @ DET,129,W,Celtics,Celtics
0022300998,"MAR 20, 2024",BOS vs. MIL,122,W,Celtics,Celtics
0022300984,"MAR 18, 2024",BOS vs. DET,119,W,Celtics,Celtics
0022300980,"MAR 17, 2024",BOS @ WAS,130,W,Celtics,Celtics
0022300955,"MAR 14, 2024",BOS vs. PHX,127,W,Celtics,Celtics
0022300943,"MAR 12, 2024",BOS @ UTA,123,W,Celtics,Celtics
0022300938,"MAR 11, 2024",BOS @ POR,121,W,Celtics,Celtics
0022300920,"MAR 09, 2024",BOS @ PHX,117,W,Celtics,Celtics
0022300906,"MAR 07, 2024",BOS @ DEN,109,L,Celtics,DEN
0022300886,"MAR 05, 2024",BOS @ CLE,104,L,Celtics,CLE
0022300872,"MAR 03, 2024",BOS vs. GSW,140,W,Celtics,Celtics
0022300859,"MAR 01, 2024",BOS vs. DAL,138,W,Celtics,Celtics
0022300836,"FEB 27, 2024",BOS vs. PHI,117,W,Celtics,Celtics
0022300816,"FEB 24, 2024",BOS @ NYK,116,W,Celtics,Celtics
0022300797,"FEB 22, 2024",BOS @ CHI,129,W,Celtics,Celtics
0022300780,"FEB 14, 2024",BOS vs. BKN,136,W,Celtics,Celtics
0022300771,"FEB 13, 2024",BOS @ BKN,118,W,Celtics,Celtics
0022300759,"FEB 11, 2024",BOS @ MIA,110,W,Celtics,Celtics
0022300743,"FEB 09, 2024",BOS vs. WAS,133,W,Celtics,Celtics
0022300729,"FEB 07, 2024",BOS vs. ATL,125,W,Celtics,Celtics
0022300706,"FEB 04, 2024",BOS vs. MEM,131,W,Celtics,Celtics
0022300684,"FEB 01, 2024",BOS vs. LAL,105,L,Celtics,LAL
0022300670,"JAN 30, 2024",BOS vs. IND,129,W,Celtics,Celtics
0022300659,"JAN 29, 2024",BOS vs. NOP,118,W,Celtics,Celtics
0022300646,"JAN 27, 2024",BOS vs. LAC,96,L,Celtics,LAC
0022300630,"JAN 25, 2024",BOS @ MIA,143,W,Celtics,Celtics
0022300611,"JAN 22, 2024",BOS @ DAL,119,W,Celtics,Celtics
0022300603,"JAN 21, 2024",BOS @ HOU,116,W,Celtics,Celtics
0022300586,"JAN 19, 2024",BOS vs. DEN,100,L,Celtics,DEN
0022300571,"JAN 17, 2024",BOS vs. SAS,117,W,Celtics,Celtics
0022300563,"JAN 15, 2024",BOS @ TOR,105,W,Celtics,Celtics
0022300542,"JAN 13, 2024",BOS vs. HOU,145,W,Celtics,Celtics
0022300528,"JAN 11, 2024",BOS @ MIL,102,L,Celtics,MIL
0022300517,"JAN 10, 2024",BOS vs. MIN,127,W,Celtics,Celtics
0022300507,"JAN 08, 2024",BOS @ IND,131,L,Celtics,IND
0022300493,"JAN 06, 2024",BOS @ IND,118,W,Celtics,Celtics
0022300479,"JAN 05, 2024",BOS vs. UTA,126,W,Celtics,Celtics
0022300462,"JAN 02, 2024",BOS @ OKC,123,L,Celtics,OKC
0022300448,"DEC 31, 2023",BOS @ SAS,134,W,Celtics,Celtics
0022300432,"DEC 29, 2023",BOS vs. TOR,120,W,Celtics,Celtics
0022300421,"DEC 28, 2023",BOS vs. DET,128,W,Celtics,Celtics
0022300403,"DEC 25, 2023",BOS @ LAL,126,W,Celtics,Celtics
0022300389,"DEC 23, 2023",BOS @ LAC,145,W,Celtics,Celtics
0022300373,"DEC 20, 2023",BOS @ SAC,144,W,Celtics,Celtics
0022300362,"DEC 19, 2023",BOS @ GSW,126,L,Celtics,GSW
0022300344,"DEC 17, 2023",BOS vs. ORL,114,W,Celtics,Celtics
0022300329,"DEC 15, 2023",BOS vs. ORL,128,W,Celtics,Celtics
0022300319,"DEC 14, 2023",BOS vs. CLE,116,W,Celtics,Celtics
0022300305,"DEC 12, 2023",BOS vs. CLE,120,W,Celtics,Celtics
0022301227,"DEC 08, 2023",BOS vs. NYK,133,W,Celtics,Celtics
0022301202,"DEC 04, 2023",BOS @ IND,112,L,Celtics,IND
0022300275,"DEC 01, 2023",BOS vs. PHI,125,W,Celtics,Celtics
0022300053,"NOV 28, 2023",BOS vs. CHI,124,W,Celtics,Celtics
0022300246,"NOV 26, 2023",BOS vs. ATL,113,W,Celtics,Celtics
0022300043,"NOV 24, 2023",BOS @ ORL,96,L,Celtics,ORL
0022300228,"NOV 22, 2023",BOS vs. MIL,119,W,Celtics,Celtics
0022300217,"NOV 20, 2023",BOS @ CHA,118,L,Celtics,CHA
0022300213,"NOV 19, 2023",BOS @ MEM,102,W,Celtics,Celtics
0022300031,"NOV 17, 2023",BOS @ TOR,108,W,Celtics,Celtics
0022300194,"NOV 15, 2023",BOS @ PHI,117,W,Celtics,Celtics
0022300188,"NOV 13, 2023",BOS vs. NYK,114,W,Celtics,Celtics
0022300174,"NOV 11, 2023",BOS vs. TOR,117,W,Celtics,Celtics
0022300010,"NOV 10, 2023",BOS vs. BKN,121,W,Celtics,Celtics
0022300159,"NOV 08, 2023",BOS @ PHI,103,L,Celtics,PHI
0022300154,"NOV 06, 2023",BOS @ MIN,109,L,Celtics,MIN
0022300136,"NOV 04, 2023",BOS @ BKN,124,W,Celtics,Celtics
0022300118,"NOV 01, 2023",BOS vs. IND,155,W,Celtics,Celtics
0022300103,"OCT 30, 2023",BOS @ WAS,126,W,Celtics,Celtics
0022300080,"OCT 27, 2023",BOS vs. MIA,119,W,Celtics,Celtics
0022300065,"OCT 25, 2023",BOS @ NYK,108,W,Celtics,Celtics
0022301187,"APR 14, 2024",CLE vs. CHA,110,L,Cavaliers,CHA
0022301174,"APR 12, 2024",CLE vs. IND,129,W,Cavaliers,Cavaliers
0022301158,"APR 10, 2024",CLE vs. MEM,110,W,Cavaliers,Cavaliers
0022301132,"APR 07, 2024",CLE @ LAC,118,L,Cavaliers,LAC
0022301127,"APR 06, 2024",CLE @ LAL,97,L,Cavaliers,LAL
0022301110,"APR 03, 2024",CLE @ PHX,101,L,Cavaliers,PHX
0022301100,"APR 02, 2024",CLE @ UTA,129,W,Cavaliers,Cavaliers
0022301077,"MAR 31, 2024",CLE @ DEN,101,L,Cavaliers,DEN
0022301067,"MAR 29, 2024",CLE vs. PHI,117,W,Cavaliers,Cavaliers
0022301048,"MAR 27, 2024",CLE @ CHA,111,L,Cavaliers,CHA
0022301033,"MAR 25, 2024",CLE vs. CHA,115,W,Cavaliers,Cavaliers
0022301029,"MAR 24, 2024",CLE @ MIA,84,L,Cavaliers,MIA
0022301014,"MAR 22, 2024",CLE @ MIN,91,L,Cavaliers,MIN
0022300996,"MAR 20, 2024",CLE vs. MIA,104,L,Cavaliers,MIA
0022300983,"MAR 18, 2024",CLE @ IND,108,W,Cavaliers,Cavaliers
0022300967,"MAR 16, 2024",CLE @ HOU,103,L,Cavaliers,HOU
0022300951,"MAR 13, 2024",CLE @ NOP,116,W,Cavaliers,Cavaliers
0022300934,"MAR 11, 2024",CLE vs. PHX,111,L,Cavaliers,PHX
0022300930,"MAR 10, 2024",CLE vs. BKN,101,L,Cavaliers,BKN
0022300911,"MAR 08, 2024",CLE vs. MIN,113,W,Cavaliers,Cavaliers
0022300895,"MAR 06, 2024",CLE @ ATL,101,L,Cavaliers,ATL
0022300886,"MAR 05, 2024",CLE vs. BOS,105,W,Cavaliers,Cavaliers
0022300876,"MAR 03, 2024",CLE vs. NYK,98,L,Cavaliers,NYK
0022300857,"MAR 01, 2024",CLE @ DET,110,W,Cavaliers,Cavaliers
0022300846,"FEB 28, 2024",CLE @ CHI,123,L,Cavaliers,CHI
0022300832,"FEB 27, 2024",CLE vs. DAL,121,W,Cavaliers,Cavaliers
0022300820,"FEB 25, 2024",CLE @ WAS,114,W,Cavaliers,Cavaliers
0022300805,"FEB 23, 2024",CLE @ PHI,97,L,Cavaliers,PHI
0022300792,"FEB 22, 2024",CLE vs. ORL,109,L,Cavaliers,ORL
0022300781,"FEB 14, 2024",CLE vs. CHI,108,W,Cavaliers,Cavaliers
0022300762,"FEB 12, 2024",CLE vs. PHI,121,L,Cavaliers,PHI
0022300756,"FEB 10, 2024",CLE @ TOR,119,W,Cavaliers,Cavaliers
0022300735,"FEB 08, 2024",CLE @ BKN,118,W,Cavaliers,Cavaliers
0022300728,"FEB 07, 2024",CLE @ WAS,114,W,Cavaliers,Cavaliers
0022300714,"FEB 05, 2024",CLE vs. SAC,136,W,Cavaliers,Cavaliers
0022300703,"FEB 03, 2024",CLE @ SAS,117,W,Cavaliers,Cavaliers
0022300687,"FEB 01, 2024",CLE @ MEM,108,W,Cavaliers,Cavaliers
0022300675,"JAN 31, 2024",CLE vs. DET,128,W,Cavaliers,Cavaliers
0022300658,"JAN 29, 2024",CLE vs. LAC,118,W,Cavaliers,Cavaliers
0022300639,"JAN 26, 2024",CLE @ MIL,112,W,Cavaliers,Cavaliers
0022300624,"JAN 24, 2024",CLE @ MIL,116,L,Cavaliers,MIL
0022300607,"JAN 22, 2024",CLE @ ORL,126,W,Cavaliers,Cavaliers
0022300595,"JAN 20, 2024",CLE @ ATL,116,W,Cavaliers,Cavaliers
0022300572,"JAN 17, 2024",CLE vs. MIL,135,W,Cavaliers,Cavaliers
0022300561,"JAN 15, 2024",CLE vs. CHI,109,W,Cavaliers,Cavaliers
0022300527,"JAN 11, 2024",CLE vs. BKN,111,W,Cavaliers,Cavaliers
0022300497,"JAN 07, 2024",CLE vs. SAS,117,W,Cavaliers,Cavaliers
0022300482,"JAN 05, 2024",CLE vs. WAS,114,W,Cavaliers,Cavaliers
0022300465,"JAN 03, 2024",CLE vs. WAS,140,W,Cavaliers,Cavaliers
0022300452,"JAN 01, 2024",CLE @ TOR,121,L,Cavaliers,TOR
0022300433,"DEC 29, 2023",CLE vs. MIL,111,L,Cavaliers,MIL
0022300420,"DEC 27, 2023",CLE @ DAL,113,W,Cavaliers,Cavaliers
0022300396,"DEC 23, 2023",CLE @ CHI,109,W,Cavaliers,Cavaliers
0022300375,"DEC 21, 2023",CLE vs. NOP,104,L,Cavaliers,NOP
0022300364,"DEC 20, 2023",CLE vs. UTA,124,W,Cavaliers,Cavaliers
0022300349,"DEC 18, 2023",CLE vs. HOU,135,W,Cavaliers,Cavaliers
0022300336,"DEC 16, 2023",CLE vs. ATL,127,W,Cavaliers,Cavaliers
0022300319,"DEC 14, 2023",CLE @ BOS,107,L,Cavaliers,BOS
0022300305,"DEC 12, 2023",CLE @ BOS,113,L,Cavaliers,BOS
0022300294,"DEC 11, 2023",CLE @ ORL,94,L,Cavaliers,ORL
0022301220,"DEC 08, 2023",CLE @ MIA,111,W,Cavaliers,Cavaliers
0022301205,"DEC 06, 2023",CLE vs. ORL,121,W,Cavaliers,Cavaliers
0022300283,"DEC 02, 2023",CLE @ DET,110,W,Cavaliers,Cavaliers
0022300265,"NOV 30, 2023",CLE vs. POR,95,L,Cavaliers,POR
0022300055,"NOV 28, 2023",CLE vs. ATL,128,W,Cavaliers,Cavaliers
0022300251,"NOV 26, 2023",CLE vs. TOR,105,W,Cavaliers,Cavaliers
0022300242,"NOV 25, 2023",CLE vs. LAL,115,L,Cavaliers,LAL
0022300229,"NOV 22, 2023",CLE vs. MIA,96,L,Cavaliers,MIA
0022300040,"NOV 21, 2023",CLE @ PHI,122,W,Cavaliers,Cavaliers
0022300210,"NOV 19, 2023",CLE vs. DEN,121,W,Cavaliers,Cavaliers
0022300030,"NOV 17, 2023",CLE vs. DET,108,W,Cavaliers,Cavaliers
0022300199,"NOV 15, 2023",CLE @ POR,109,W,Cavaliers,Cavaliers
0022300191,"NOV 13, 2023",CLE @ SAC,120,L,Cavaliers,SAC
0022300176,"NOV 11, 2023",CLE @ GSW,118,W,Cavaliers,Cavaliers
0022300167,"NOV 08, 2023",CLE @ OKC,120,L,Cavaliers,OKC
0022300142,"NOV 05, 2023",CLE vs. GSW,115,W,Cavaliers,Cavaliers
0022300001,"NOV 03, 2023",CLE @ IND,116,L,Cavaliers,IND
0022300120,"NOV 01, 2023",CLE @ NYK,95,W,Cavaliers,Cavaliers
0022300112,"OCT 31, 2023",CLE vs. NYK,91,L,Cavaliers,NYK
0022300091,"OCT 28, 2023",CLE vs. IND,113,L,Cavaliers,IND
0022300081,"OCT 27, 2023",CLE vs. OKC,105,L,Cavaliers,OKC
0022300067,"OCT 25, 2023",CLE @ BKN,114,W,Cavaliers,Cavaliers
0022301195,"APR 14, 2024",NOP vs. LAL,108,L,Pelicans,LAL
0022301182,"APR 12, 2024",NOP @ GSW,114,W,Pelicans,Pelicans
0022301170,"APR 11, 2024",NOP @ SAC,135,W,Pelicans,Pelicans
0022301157,"APR 09, 2024",NOP @ POR,110,W,Pelicans,Pelicans
0022301138,"APR 07, 2024",NOP @ PHX,113,W,Pelicans,Pelicans
0022301123,"APR 05, 2024",NOP vs. SAS,109,L,Pelicans,SAS
0022301109,"APR 03, 2024",NOP vs. ORL,108,L,Pelicans,ORL
0022301092,"APR 01, 2024",NOP vs. PHX,111,L,Pelicans,PHX
0022301074,"MAR 30, 2024",NOP vs. BOS,92,L,Pelicans,BOS
0022301061,"MAR 28, 2024",NOP vs. MIL,107,W,Pelicans,Pelicans
0022301046,"MAR 26, 2024",NOP vs. OKC,112,L,Pelicans,OKC
0022301027,"MAR 24, 2024",NOP @ DET,114,W,Pelicans,Pelicans
0022301013,"MAR 22, 2024",NOP @ MIA,111,W,Pelicans,Pelicans
