SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,PlayerID,PlayerName,Season
2021-22,1630173,Precious Achiuwa,Precious,1610612761,TOR,Toronto Raptors,0042100136,2022-04-28T00:00:00,TOR vs. PHI,L,22.233333333333334,1,7,0.143,0,2,0.0,1,2,0.5,0,2,2,1,1,0,0,2,3,1,3,-21,5.9,0,0,6.0,1,3,3,3,6,6,5,6,4,3,4,2,1,4,6,5,6,2,3,2,4,5,4,6,6,5,6,1,1,6,1,1630173,Precious Achiuwa,2021-22
2021-22,1630173,Precious Achiuwa,Precious,1610612761,TOR,Toronto Raptors,0042100135,2022-04-25T00:00:00,TOR @ PHI,W,26.766666666666666,7,11,0.636,1,5,0.2,2,2,1.0,1,6,7,0,0,0,3,0,4,2,17,10,34.4,0,0,31.0,1,1,1,1,4,2,1,2,3,1,3,1,1,1,4,1,1,5,5,2,1,1,6,4,2,1,1,1,1,1,1,1630173,Precious Achiuwa,2021-22
2021-22,1630173,Precious Achiuwa,Precious,1610612761,TOR,Toronto Raptors,0042100134,2022-04-23T00:00:00,TOR vs. PHI,W,24.408333333333335,2,6,0.333,0,2,0.0,1,2,0.5,2,2,4,1,3,0,0,1,1,3,5,10,8.3,0,0,10.0,1,1,1,1,5,5,6,4,4,3,4,2,1,4,1,5,4,2,2,2,4,3,1,1,5,1,5,1,1,5,1,1630173,Precious Achiuwa,2021-22
2021-22,1630173,Precious Achiuwa,Precious,1610612761,TOR,Toronto Raptors,0042100133,2022-04-20T00:00:00,TOR vs. PHI,L,35.55,9,11,0.818,2,2,1.0,0,2,0.0,2,4,6,1,4,0,1,1,2,3,20,2,27.7,0,0,31.0,1,3,3,3,1,1,1,1,1,3,1,6,1,6,1,2,2,2,1,2,2,3,3,1,1,3,2,1,1,1,1,1630173,Precious Achiuwa,2021-22
2021-22,1630173,Precious Achiuwa,Precious,1610612761,TOR,Toronto Raptors,0042100132,2022-04-18T00:00:00,TOR @ PHI,L,28.983333333333334,3,8,0.375,0,1,0.0,1,1,1.0,2,4,6,0,0,1,0,2,3,3,7,-24,17.2,0,0,15.0,1,3,3,3,2,3,4,3,4,6,4,2,5,1,1,2,2,5,5,1,4,5,4,1,4,6,4,1,1,4,1,1630173,Precious Achiuwa,2021-22
2021-22,1630173,Precious Achiuwa,Precious,1610612761,TOR,Toronto Raptors,0042100131,2022-04-16T00:00:00,TOR @ PHI,L,28.6,3,9,0.333,2,4,0.5,1,1,1.0,1,3,4,3,1,0,1,0,1,2,9,-8,20.3,0,0,20.0,1,3,3,3,3,3,3,4,1,2,2,2,5,1,4,4,4,1,3,2,2,1,1,4,3,4,3,1,1,3,1,1630173,Precious Achiuwa,2021-22
2021-22,203500,Steven Adams,Steven,1610612763,MEM,Memphis Grizzlies,0042100236,2022-05-13T00:00:00,MEM @ GSW,L,28.483333333333334,1,3,0.333,0,0,0.0,2,4,0.5,1,9,10,3,1,0,0,0,2,5,4,-6,19.5,0,0,17.0,1,3,3,3,1,3,3,3,1,1,1,2,2,2,3,1,3,1,2,2,2,1,4,1,3,5,3,2,1,3,1,203500,Steven Adams,2021-22
2021-22,203500,Steven Adams,Steven,1610612763,MEM,Memphis Grizzlies,0042100235,2022-05-11T00:00:00,MEM vs. GSW,W,21.816666666666666,2,7,0.286,0,0,0.0,3,5,0.6,6,7,13,3,0,0,0,2,1,3,7,32,27.1,0,0,23.0,1,1,1,1,4,2,2,4,1,1,1,1,1,1,1,3,2,1,4,2,2,7,2,2,2,1,2,2,1,2,1,203500,Steven Adams,2021-22
2021-22,203500,Steven Adams,Steven,1610612763,MEM,Memphis Grizzlies,0042100234,2022-05-09T00:00:00,MEM @ GSW,L,27.208333333333332,5,9,0.556,0,0,0.0,0,0,0.0,6,9,15,3,2,1,1,1,2,0,10,13,36.5,1,0,32.0,1,3,3,3,2,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,6,4,4,1,2,1,1,1,1,1,203500,Steven Adams,2021-22
2021-22,203500,Steven Adams,Steven,1610612763,MEM,Memphis Grizzlies,0042100233,2022-05-07T00:00:00,MEM @ GSW,L,5.616666666666666,1,2,0.5,0,0,0.0,1,2,0.5,0,2,2,2,0,0,0,0,0,1,3,-7,8.4,0,0,7.0,1,3,3,3,5,3,4,2,1,1,1,3,3,2,6,4,5,5,4,2,2,1,1,3,4,6,4,2,1,4,1,203500,Steven Adams,2021-22
